area,bathroom,bedroom,lat,long,school,mrt,age,type_condo,type_hdb,price_sqft
1119,2,3,1.351638,103.880484,2,0,24,0,1,402.14
1108,2,3,1.378143,103.891257,6,0,30,0,1,332.13
1560,3,3,1.348128,103.7222685,2,1,36,0,1,448.08
1410,2,4,1.395558,103.9040235,9,0,22,0,1,353.9
721,2,2,1.352763,103.887873,2,0,39,0,1,367.55
1431,2,4,1.36224,103.8431025,3,0,30,0,1,548.57
1023,2,3,1.354176,103.865967,4,1,36,0,1,420.33
1023,2,3,1.389249,103.8765555,2,0,16,0,1,418.38
1011,2,3,1.39275,103.8774195,3,0,11,0,1,405.54
1185,2,3,1.277226,103.8087225,1,0,19,0,1,717.3
1130,2,3,1.367145,103.954806,2,0,32,0,1,376.11
1001,2,3,1.389798,103.880646,4,0,6,0,1,447.55
990,2,2,1.407753,103.900905,5,1,5,0,1,606.06
915,2,3,1.336662,103.921623,1,1,6,0,1,710.38
786,2,2,1.389582,103.879476,3,0,6,0,1,489.69
1227,2,3,1.28142,103.807287,1,0,44,0,1,419.72
1345,2,3,1.318491,103.943871,2,0,43,0,1,437.17
1023,2,3,1.293381,103.80933,1,1,20,0,1,625.61
1550,2,3,1.375344,103.770954,3,0,33,0,1,372.9
1506,2,3,1.338462,103.744224,2,0,23,0,1,557.77
1130,2,3,1.35172,103.88583,2,0,36,0,1,309.73
1291,2,3,1.338777,103.7356065,2,0,39,0,1,402.79
1108,2,3,1.355004,103.94712,6,2,37,0,1,440.43
1281,2,3,1.271745,103.8225105,2,0,44,0,1,452.77
980,2,3,1.324449,103.86261,3,1,36,0,1,474.49
1119,2,3,1.360224,103.956336,4,1,31,0,1,366.4
753,2,2,1.41003,103.90594,5,0,10,0,1,451.53
721,2,2,1.34261,103.92539,1,0,35,0,1,427.18
882,1,3,1.320327,103.9473225,1,0,45,0,1,408.16
997,2,3,1.35026,103.93597,4,0,6,0,1,569.71
990,2,3,1.355922,103.9329135,2,0,6,0,1,545.35
990,2,3,1.324215,103.939857,3,0,43,0,1,401.01
990,2,3,1.387431,103.759119,4,0,6,0,1,500
904,2,3,1.326465,103.9020075,2,0,35,0,1,430.31
1206,2,3,1.407753,103.900905,5,1,5,0,1,675.79
796,2,2,1.30455,103.7687715,0,0,38,0,1,364.32
1657,3,4,1.374993,103.893255,6,1,31,0,1,421.24
1076,2,3,1.345194,103.937688,3,1,37,0,1,418.22
742,2,2,1.390023,103.879575,4,0,6,0,1,512.13
990,2,3,1.316781,103.7708955,2,0,42,0,1,453.54
721,2,2,1.380132,103.8293685,2,0,42,0,1,402.22
1335,2,4,1.374489,103.8764655,3,0,28,0,1,403
1184,2,3,1.393497,103.894407,6,1,21,0,1,463.68
1302,2,3,1.356408,103.9475295,6,0,36,0,1,384.02
990,2,3,1.420983,103.8486105,3,0,6,0,1,402.02
975,2,3,1.369053,103.870584,2,0,36,0,1,358.97
1130,2,3,1.34145,103.6867,2,0,32,0,1,292.04
1550,2,3,1.337868,103.744872,2,0,23,0,1,470.97
732,1,2,1.30442,103.8617,1,2,50,0,1,519.13
1345,2,4,1.361538,103.9580595,2,0,25,0,1,394.05
1389,2,4,1.32576,103.91111,2,0,32,0,1,518.36
1302,2,3,1.37817,103.7683665,4,0,34,0,1,359.45
688,2,2,1.363455,103.8342105,2,0,35,0,1,537.79
990,2,3,1.39329,103.8781395,3,0,6,0,1,454.55
