,Address,Building Name,Built On,Land Area,Number of Bathroom,Number of Bedroom,Price,Price per sqft,Tenure,Type,latitude,longitude
1305,Jiak Kim Street,Riviere,99-year Leasehold,818 sqft,2,2,"S$ 2,253,000 ","S$ 2,754.28 psf",Condominium,New Project: 2024,1.2911487793,103.8349983883
1306,26 Bukit Batok East Avenue 2,Hillview Regency,2005,904 sqft,2,2,"S$ 820,000 ",S$ 907.08 psf,99-year Leasehold,Condominium,1.352079,103.7591595
1307,25 Fernvale Close,Rivertrees Residences,2018,732 sqft,2,2,"S$ 880,000 ","S$ 1,202.19 psf",99-year Leasehold,Apartment,1.393848,103.8805155
1308,50A Toh Tuck Road,Signature Park,1998,1055 sqft,2,2,"S$ 1,450,000 ","S$ 1,374.41 psf",Freehold,Condominium,,
1309,5 Jurong Lake Link,Lakeville,2018,635 sqft,1,2,"S$ 990,000 ","S$ 1,559.06 psf",99-year Leasehold,Condominium,1.345878,103.725981
1310,348 Clementi Avenue 5,348 Clementi Avenue 5,1978,990 sqft,2,3,"S$ 449,000 ",S$ 453.54 psf,99-year Leasehold,HDB Apartment,1.316781,103.7708955
1311,175 Upper East Coast Road,Suites @ East Coast,2014,377 sqft,1,1,"S$ 570,000 ","S$ 1,511.94 psf",Freehold,Condominium,1.31283,103.92608
1312,61 Lichi Avenue,Sennett Estate,1996,"3988 sqft, 2370 sqft (land)",5,5,"S$ 3,698,800 ","S$ 1,560.68 psf",Freehold,Corner Terrace,1.333782,103.8778335
1313,91 Tampines Avenue 1,Waterview,2013,1184 sqft,2,3,"S$ 1,288,888 ","S$ 1,088.59 psf",99-year Leasehold,Condominium,1.349568,103.9265235
1314,Kew  Crescent,Kew Crescent,1994,"4400 sqft, 3035 sqft (land)",5,8,"S$ 2,380,000 ",S$ 784.18 psf,99-year Leasehold,Corner Terrace,1.31916,103.94833
1315,8 Hillview Rise,Midwood,99-year Leasehold,635 sqft,1,2,"S$ 985,000 ","S$ 1,551.18 psf",Condominium,New Project: 2024,1.362403213,103.7643717576
1316,2 Pasir Ris Link,Ripple Bay,2016,2668 sqft,4,4,"S$ 2,500,000 ",S$ 937.03 psf,99-year Leasehold,Condominium,1.377279,103.960998
1317,444 Ang Mo Kio Avenue 10,444 Ang Mo Kio Avenue 10,1978,721 sqft,2,2,"S$ 290,000 ",S$ 402.22 psf,99-year Leasehold,HDB Apartment,1.380132,103.8293685
1318,36 Sturdee Road,Kerrisdale,2006,1485 sqft,3,4,"S$ 1,750,000 ","S$ 1,178.45 psf",99-year Leasehold,Condominium,1.313559,103.858371
1319,502 Serangoon North Avenue 4,502 Serangoon North Avenue 4,1992,1335 sqft,2,4,"S$ 538,000 ",S$ 403.00 psf,99-year Leasehold,HDB Apartment,1.374489,103.8764655
1320,Punggol Field Walk,Flo Residence,2016,1185 sqft,2,2,"S$ 1,050,000 ",S$ 886.08 psf,99-year Leasehold,Condominium,1.3925803468,103.9129700573
1321,183 Jalan Pelikat,The Promenade @ Pelikat,2016,1410 sqft,2,3,"S$ 1,388,001 ",S$ 984.40 psf,Freehold,Condominium,1.35531,103.887855
1322,531 Bedok Reservoir,Archipelago,2015,3079 sqft,4,5,"S$ 2,900,000 ",S$ 941.86 psf,99-year Leasehold,Condominium,1.34261,103.92539
1323,261B Sengkang East Way,261B Sengkang East Way,1999,1184 sqft,2,3,"S$ 549,000 ",S$ 463.68 psf,99-year Leasehold,HDB Apartment,1.393497,103.894407
1324,19 Mattar Road,The Antares,99-year Leasehold,452 sqft,1,1,"S$ 796,000 ","S$ 1,761.06 psf",Condominium,New Project: 2022,1.3251015004,103.883292819
1325,233 Tampines Street 21,233 Tampines Street 21,1984,1302 sqft,2,3,"S$ 500,000 ",S$ 384.02 psf,99-year Leasehold,HDB Apartment,1.356408,103.9475295
1326,295 Ocean Drive,The Oceanfront @ Sentosa Cove,2010,1711 sqft,2,3,"S$ 2,790,000 ","S$ 1,630.63 psf",99-year Leasehold,Condominium,1.28626,103.84244
1327,23 Sin Ming Walk,Thomson Grand,2015,5155 sqft,5,4,"S$ 3,490,000 ",S$ 677.01 psf,99-year Leasehold,Cluster House,1.365336,103.8293955
1328,295 Ocean Drive,The Oceanfront @ Sentosa Cove,2010,2077 sqft,4,4,"S$ 4,600,000 ","S$ 2,214.73 psf",99-year Leasehold,Condominium,1.28626,103.84244
1329,8 Keng Chin Road,Cyan,2014,1022 sqft,2,2,"S$ 2,480,000 ","S$ 2,426.61 psf",Freehold,Condominium,1.317249,103.8299715
1330,Sennett Avenue,East Coast Hill,1977,"7847 sqft, 5540 sqft (land)",6,6,"S$ 7,580,000 ","S$ 1,368.23 psf",Freehold,Semi-Detached House,1.31707,103.93653
1331,11A Toh Tuck Road,Daintree Residence,99-year Leasehold,710 sqft,2,2,"S$ 1,105,200 ","S$ 1,556.62 psf",Apartment,New Project: 2021,,
1332,430B Yishun Avenue 11,430B Yishun Avenue 11,2014,990 sqft,2,3,"S$ 398,000 ",S$ 402.02 psf,99-year Leasehold,HDB Apartment,1.420983,103.8486105
1333,36 Flora Drive,Palm Isles,2015,3800 sqft,4,4,"S$ 3,150,000 ",S$ 828.95 psf,99-year Leasehold,Condominium,1.356237,103.964706
1334,84 Bayshore Road,Costa Del Sol,2004,947 sqft,2,2,"S$ 1,438,000 ","S$ 1,518.48 psf",99-year Leasehold,Condominium,1.3121909999999999,103.940118
1335,50 Draycott Park,The Draycott,1980,2637 sqft,4,3,"S$ 4,430,000 ","S$ 1,679.94 psf",Freehold,Apartment,1.311741,103.8312585
1336,111 Serangoon North Avenue 1,111 Serangoon North Avenue 1,1984,975 sqft,2,3,"S$ 350,000 ",S$ 358.97 psf,99-year Leasehold,HDB Apartment,1.369053,103.870584
1337,460 Siglap Road,Flamingo Valley,2015,1152 sqft,3,3,"S$ 1,699,000 ","S$ 1,474.83 psf",Freehold,Condominium,1.31059,103.9254
1338,24 Simei Street 1,Melville Park,1996,958 sqft,2,2,"S$ 735,000 ",S$ 767.22 psf,99-year Leasehold,Apartment,1.34802,103.95819
1339,1 Keppel Bay View,Reflections @ Keppel Bay,2013,1539 sqft,3,3,"S$ 2,660,000 ","S$ 1,728.40 psf",99-year Leasehold,Condominium,1.268163,103.814379
1340,479 River Valley Road,Valley Park,1997,1108 sqft,2,2,"S$ 2,050,000 ","S$ 1,850.18 psf",999-year Leasehold,Condominium,1.29328,103.82615
1341,3 East Coast Drive,Eastrees,2016,4026 sqft,5,4,"S$ 3,680,000 ",S$ 914.06 psf,Freehold,Cluster House,1.311012,103.9218165
1342,950 Jurong West Street 91,950 Jurong West Street 91,1988,1130 sqft,2,3,"S$ 330,000 ",S$ 292.04 psf,99-year Leasehold,HDB Apartment,1.34145,103.6867
1343,33 Fort Road,Fulcrum,2016,1198 sqft,2,2,"S$ 2,750,000 ","S$ 2,295.49 psf",Freehold,Condominium,1.298646,103.8848805
1344,31 terrasse lane,TERRASSE,2015,807 sqft,2,2,"S$ 940,000 ","S$ 1,164.81 psf",99-year Leasehold,Condominium,1.368459,103.8784725
1345,100 Terang Bulan Avenue,Opera Estate,2012,"2500 sqft, 2194 sqft (land)",4,5,"S$ 3,250,000 ","S$ 1,481.31 psf",Freehold,Terraced House,1.321155,103.9214565
1346,3 Wallich Street,Wallich Residence,2016,1098 sqft,3,3,"S$ 3,400,000 ","S$ 3,096.54 psf",99-year Leasehold,Condominium,1.2771270000000001,103.8458115
1347,3 Foo Kim Lin Road,Tropika East,2016,840 sqft,2,2,"S$ 1,300,000 ","S$ 1,547.62 psf",Freehold,Condominium,1.328868,103.9071825
1348,314 Shunfu Road,Jadescape,99-year Leasehold,1055 sqft,3,3,"S$ 1,841,531 ","S$ 1,745.53 psf",Condominium,New Project: 2023,1.351764,103.8382515
1349,Sembawang Road,Goodlink Park,1982,"3400 sqft, 2700 sqft (land)",4,5,"S$ 2,600,000 ",S$ 962.96 psf,Freehold,Corner Terrace,1.44794,103.81891
1350,Kasai road,Beautiful Detached House @Seletar Hill Estate,2014,"8500 sqft, 4422 sqft (land)",6,6,"S$ 6,800,000 ","S$ 1,537.77 psf",999-year Leasehold,Detached House,1.3865083156,103.865872975
1351,8 Lorong 38 Geylang,The Water Edge @ Geylang,2014,441 sqft,1,1,"S$ 678,800 ","S$ 1,539.23 psf",Freehold,Condominium,1.313721,103.8887595
1352,1 Alexandra View,Ascentia Sky,2014,1475 sqft,2,3,"S$ 2,300,000 ","S$ 1,559.32 psf",99-year Leasehold,Apartment,1.290951,103.8170025
1353,80 Mohamed Sultan Road,The Pier @ Robertson,2006,753 sqft,1,1,"S$ 1,550,000 ","S$ 2,058.43 psf",Freehold,Apartment,1.2912569999999999,103.8406905
1354,287C Jurong East Street 21,287C Jurong East Street 21,1997,1550 sqft,2,3,"S$ 729,999 ",S$ 470.97 psf,99-year Leasehold,HDB Apartment,1.337868,103.744872
1355,10 Newton Road,Gloucester Mansions,2000,657 sqft,2,1,"S$ 1,199,999 ","S$ 1,826.48 psf",Freehold,Condominium,1.313676,103.840371
1356,881 East Coast Road,Siglap V,2014,925 sqft,2,2,"S$ 1,200,000 ","S$ 1,297.30 psf",Freehold,Condominium,1.3046600000000002,103.9042
1357,46 Choa Chu Kang Street 64,The Quintet,2006,1259 sqft,3,3,"S$ 990,000 ",S$ 786.34 psf,99-year Leasehold,HDB Apartment,1.399266,103.7505465
1358,Pasir Ris Grove,Coco Palms,2019,463 sqft,1,1,"S$ 648,888 ","S$ 1,401.49 psf",99-year Leasehold,Condominium,1.3719963153,103.9448030088
1359,2 Jalan Lempeng,Parc Clematis,99-year Leasehold,1238 sqft,3,4,"S$ 1,946,000 ","S$ 1,571.89 psf",Apartment,New Project: 2023,1.3172760000000001,103.7598255
1360,74 Upper Serangoon View,Kingsford Waterbay,2018,850 sqft,2,3,"S$ 1,150,000 ","S$ 1,352.94 psf",99-year Leasehold,Condominium,1.374723,103.903731
1361,9 Siglap Road,Seaside Residences,99-year Leasehold,1023 sqft,4,3,"S$ 1,949,220 ","S$ 1,905.40 psf",Condominium,New Project: 2021,1.31059,103.9254
1362,38 Scotts Road,The Scotts Tower,2016,807 sqft,2,2,"S$ 1,700,000 ","S$ 2,106.57 psf",103-year Leasehold,Condominium,1.3099859999999999,103.835493
1363,3 Beach Road,3 Beach Road,1970,732 sqft,1,2,"S$ 380,000 ",S$ 519.13 psf,99-year Leasehold,HDB Apartment,1.30442,103.8617
1364,Jiak Kim Street,Riviere,99-year Leasehold,818 sqft,2,2,"S$ 2,223,000 ","S$ 2,717.60 psf",Condominium,New Project: 2023,1.2911487793,103.8349983883
1365,100 Punggol Drive,Riverparc Residence,2014,991 sqft,2,3,"S$ 920,000 ",S$ 928.36 psf,99-year Leasehold,Executive Condominium,1.40246,103.90686
1366,498A Tampines Street 45,498A Tampines Street 45,1995,1345 sqft,2,4,"S$ 530,000 ",S$ 394.05 psf,99-year Leasehold,HDB Apartment,1.361538,103.9580595
1367,102 Lengkong Tiga,102 Lengkong Tiga,1988,1389 sqft,2,4,"S$ 720,000 ",S$ 518.36 psf,99-year Leasehold,HDB Apartment,1.32576,103.91111
1368,Shunfu Road,☀️☀️PROMO PRICE! ☀️☀️ NEW LAUNCH CONDO NEAR MARYMOUNT MRT STATION,2022,1012 sqft,2,3,"S$ 1,714,700 ","S$ 1,694.37 psf",99-year Leasehold,Condominium,1.3518468011,103.8375503988
1369,6 Petir Road,Maysprings,1998,1291 sqft,3,3,"S$ 1,140,000 ",S$ 883.04 psf,99-year Leasehold,Apartment,1.376082,103.763655
1370,46 Keppel Bay Drive,Caribbean @ Keppel Bay,2004,904 sqft,2,2,"S$ 1,550,000 ","S$ 1,714.60 psf",99-year Leasehold,Condominium,1.2675779999999999,103.815126
1371,Rifle Range Road,Mayfair Modern,2024,557 sqft,1,1,"S$ 988,000 ","S$ 1,773.79 psf",99-year Leasehold,Condominium,1.3501078961,103.7839349838
1372,10 Braddell Hill,Braddell View,1981,1862 sqft,3,3,"S$ 1,700,000 ",S$ 913.00 psf,99-year Leasehold,Apartment,1.3333300000000001,103.85
1373,25 Lorong 3 Toa Payoh,Trevista,2012,1776 sqft,4,4,"S$ 2,450,000 ","S$ 1,379.50 psf",99-year Leasehold,Condominium,1.33448,103.85108
1374,62 Flora Drive,Parc Olympia,2015,1164 sqft,3,3,"S$ 1,280,000 ","S$ 1,099.66 psf",99-year Leasehold,Condominium,1.355481,103.964553
1375,Upper Serangoon View,Kingsford Waterbay,2018,474 sqft,1,1,"S$ 630,000 ","S$ 1,329.11 psf",99-year Leasehold,Condominium,1.3748032243,103.9030419183
1376,111 Gangsa Road,111 Gangsa Road,1986,1302 sqft,2,3,"S$ 468,000 ",S$ 359.45 psf,99-year Leasehold,HDB Apartment,1.37817,103.7683665
1377,407 Sin Ming Avenue,407 Sin Ming Avenue,1985,688 sqft,2,2,"S$ 370,000 ",S$ 537.79 psf,99-year Leasehold,HDB Apartment,1.363455,103.8342105
1378,440B Fernvale Link,440B Fernvale Link,2014,990 sqft,2,3,"S$ 450,000 ",S$ 454.55 psf,99-year Leasehold,HDB Apartment,1.39329,103.8781395
1379,767 Pasir Ris Street 71,767 Pasir Ris Street 71,1995,14477 sqft,2,3,"S$ 525,000 ",S$ 36.26 psf,99-year Leasehold,HDB Apartment,1.375641,103.9358655
1380,174 Duchess Avenue,Casabella,2006,990 sqft,2,2,"S$ 1,850,000 ","S$ 1,868.69 psf",Freehold,Condominium,1.32403,103.80522
1381,1 Jalan Kembangan,The Trumps,2005,980 sqft,2,2,"S$ 1,350,000 ","S$ 1,377.55 psf",99-year Leasehold,Condominium,1.3222800000000001,103.91135
1382,102 Wishart Road,The Foresta @ Mount Faber,2015,667 sqft,1,2,"S$ 1,230,000 ","S$ 1,844.08 psf",Freehold,Condominium,1.270566,103.8136275
1383,Hythe Road,Terrace @ Hythe Road,1977,"2700 sqft, 2160 sqft (land)",4,5,"S$ 3,190,000 ","S$ 1,476.85 psf",999-year Leasehold,Terraced House,1.3686344862,103.8673986708
1384,873 Tampines Street 84,873 Tampines Street 84,1988,1302 sqft,2,4,"S$ 550,000 ",S$ 422.43 psf,99-year Leasehold,HDB Apartment,1.353942,103.932198
1385,33 Rochester Drive,The Rochester,2011,1022 sqft,2,1,"S$ 1,428,000 ","S$ 1,397.26 psf",99-year Leasehold,Apartment,1.3060227899,103.7886573811
1386,448 Pasir Ris Drive 6,448 Pasir Ris Drive 6,1989,1572 sqft,3,4,"S$ 720,000 ",S$ 458.02 psf,99-year Leasehold,HDB Apartment,1.3705829999999999,103.958109
1387,368 Tampines Street 34,368 Tampines Street 34,1995,1302 sqft,2,4,"S$ 498,888 ",S$ 383.17 psf,99-year Leasehold,HDB Apartment,1.3584779999999999,103.9612905
1388,1 Serangoon North View,The Garden Residences,99-year Leasehold,452 sqft,1,1,"S$ 720,000 ","S$ 1,592.92 psf",Condominium,New Project: 2021,1.3540899234000001,103.8724300039
1389,38 Fernvale Link,H2O Residences,2015,1636 sqft,3,3,"S$ 1,587,888 ",S$ 970.59 psf,99-year Leasehold,Condominium,1.392534,103.880565
1390,466 Hougang Avenue 8,466 Hougang Avenue 8,1991,1323 sqft,2,3,"S$ 580,000 ",S$ 438.40 psf,99-year Leasehold,HDB Apartment,1.37425,103.89723
1391,1 Tessensohn Road,1953,Freehold,614 sqft,1,2,"S$ 1,145,000 ","S$ 1,864.82 psf",Apartment,New Project: 2023,1.3152313713,103.8561107508
1392,109 Aljunied Crescent,109 Aljunied Crescent,1986,645 sqft,2,2,"S$ 310,000 ",S$ 480.62 psf,99-year Leasehold,HDB Apartment,1.319391,103.8844395
1393,60 Potong Pasir Avenue 1,The Tre Ver,99-year Leasehold,1012 sqft,2,3,"S$ 1,514,000 ","S$ 1,496.05 psf",Condominium,New Project: 2022,1.334800648,103.8670905698
1394,344 Hougang Avenue 7,Riverfront Residences,99-year Leasehold,520 sqft,1,2,"S$ 612,000 ","S$ 1,176.92 psf",Condominium,New Project: 2024,1.369917,103.9000365
1395,Lorong M Telok Kurau,The Seawind @ Telok Kurau,2015,678 sqft,1,1,"S$ 1,000,000 ","S$ 1,474.93 psf",Freehold,Condominium,,
1396,643 Yishun Street 61,643 Yishun Street 61,1986,1571 sqft,3,4,"S$ 608,000 ",S$ 387.01 psf,99-year Leasehold,HDB Apartment,1.4213339999999999,103.837437
1397,3 Ardmore Park,Ardmore 3,2014,1776 sqft,2,3,"S$ 6,650,000 ","S$ 3,744.37 psf",Freehold,Condominium,1.308609,103.8285945
1398,60 Robertson Quay,The Quayside,1998,1550 sqft,3,3,"S$ 2,300,000 ","S$ 1,483.87 psf",99-year Leasehold,Condominium,1.290087,103.839201
1399,30 Middle Road,The M,99-year Leasehold,734 sqft,1,1,"S$ 1,471,000 ","S$ 2,004.09 psf",Condominium,New Project: 2024,1.2994527049,103.852861492
1400,21 Stirling Road,Stirling Residences,99-year Leasehold,1346 sqft,3,4,"S$ 2,454,000 ","S$ 1,823.18 psf",Apartment,New Project: 2022,1.29621,103.80361
1401,135 Lorong Ah Soo,135 Lorong Ah Soo,1984,1421 sqft,2,3,"S$ 550,000 ",S$ 387.05 psf,99-year Leasehold,HDB Apartment,1.3529600222,103.8837799745
1402,8 Rifle Range Road,Mayfair Gardens,99-year Leasehold,1001 sqft,2,3,"S$ 1,888,000 ","S$ 1,886.11 psf",Condominium,New Project: 2024,1.338381,103.781466
1403,1 Holland Avenue,Willyn Ville,1982,1754 sqft,3,3,"S$ 3,300,000 ","S$ 1,881.41 psf",Freehold,Apartment,1.311795,103.7964915
1404,51 Tampines Street 86,The Tapestry,99-year Leasehold,474 sqft,1,1,"S$ 725,420 ","S$ 1,530.42 psf",Condominium,New Project: 2021,1.3533607216,103.9294014901
1405,2 Whampoa East,Eight Riversuites,2016,980 sqft,2,3,"S$ 1,450,000 ","S$ 1,479.59 psf",99-year Leasehold,Condominium,1.321821,103.864743
1406,113 Jalan Bukit Merah,113 Jalan Bukit Merah,1968,624 sqft,1,3,"S$ 268,000 ",S$ 429.49 psf,99-year Leasehold,HDB Apartment,1.2828,103.81786
1407,7 Amber Road,Coastline Residences,Freehold,743 sqft,2,2,"S$ 1,673,000 ","S$ 2,251.68 psf",Condominium,New Project: 2022,1.3008720228000001,103.9016348055
1408,1 River Valley Close,Urbana,2007,1475 sqft,4,4,"S$ 3,200,000 ","S$ 2,169.49 psf",Freehold,Condominium,1.29528,103.8380625
1409,326 Changi Road,Tedge,Freehold,818 sqft,2,3,"S$ 1,308,000 ","S$ 1,599.02 psf",Condominium,New Project: 2022,1.31758,103.90582
1410,1 Tampines Lane,Treasure at Tampines,2023,1722 sqft,4,5,"S$ 1,906,000 ","S$ 1,106.85 psf",99-year Leasehold,Condominium,1.36819,103.92948
1411,Pasir Ris Grove,Coco Palms,2019,904 sqft,2,3,"S$ 1,150,000 ","S$ 1,272.12 psf",99-year Leasehold,Condominium,1.3719963153,103.9448030088
1412,283 Bedok South Avenue 3,Eco,2017,549 sqft,1,1,"S$ 800,000 ","S$ 1,457.19 psf",99-year Leasehold,Condominium,1.322775,103.9449285
1413,663 Choa Chu Kang Crescent,663 Choa Chu Kang Crescent,1998,1518 sqft,2,3,"S$ 550,000 ",S$ 362.32 psf,99-year Leasehold,HDB Apartment,1.4019840000000001,103.7507895
1414,2 Petir Road,Maysprings,1998,1302 sqft,3,3,"S$ 1,090,000 ",S$ 837.17 psf,99-year Leasehold,Apartment,1.377288,103.76343
1415,Tampines Avenue 10,The Alps Residences,99-year Leasehold,441 sqft,1,1,"S$ 654,800 ","S$ 1,484.81 psf",Condominium,New Project: 2019,1.3699853233,103.9305353423
1416,52 Marine Parade Road,Silversea,2014,4596 sqft,4,4,"S$ 11,500,000 ","S$ 2,502.18 psf",99-year Leasehold,Condominium,1.3063046987,103.9132140186
1417,348 Balestier Road,Prestige Heights,2013,883 sqft,2,1,"S$ 988,000 ","S$ 1,118.91 psf",Freehold,Apartment,,
1418,Infini at East Coast,Infini at East Coast,2022,753 sqft,2,2,"S$ 1,573,000 ","S$ 2,088.98 psf",Freehold,Condominium,1.3007099267,103.8547500511
1419,544 Ang Mo Kio Avenue 10,544 Ang Mo Kio Avenue 10,1979,990 sqft,2,3,"S$ 418,888 ",S$ 423.12 psf,99-year Leasehold,HDB Apartment,1.380132,103.8293685
1420,143 Rivervale Drive,143 Rivervale Drive,1998,1452 sqft,2,4,"S$ 640,000 ",S$ 440.77 psf,99-year Leasehold,HDB Apartment,1.3900679999999999,103.9057245
1421,8 Enggor Street,Skysuites @ Anson,2015,398 sqft,1,1,"S$ 1,180,000 ","S$ 2,964.82 psf",99-year Leasehold,Condominium,1.274643,103.8447405
1422,65 Cairnhill Road,The Ritz-Carlton Residences,2013,5662 sqft,8,6,"S$ 21,800,000 ","S$ 3,850.23 psf",Freehold,Condominium,1.3080509999999999,103.836168
1423,11 Sengkang East Avenue,Austville Residences,2014,1023 sqft,2,3,"S$ 935,000 ",S$ 913.98 psf,99-year Leasehold,Executive Condominium,1.380969,103.900833
1424,344 Hougang Avenue 7,Riverfront Residences,99-year Leasehold,689 sqft,2,2,"S$ 940,000 ","S$ 1,364.30 psf",Condominium,New Project: 2024,1.369917,103.9000365
1425,344 Hougang Avenue 7,Riverfront Residences,99-year Leasehold,581000 sqft,1,1,"S$ 699,000 ",S$ 1.20 psf,Condominium,New Project: 2024,1.369917,103.9000365
1426,5 Sophia Road,Sophia Residence,2014,2100 sqft,3,3,"S$ 2,649,999 ","S$ 1,261.90 psf",Freehold,Condominium,1.3016429999999999,103.8484755
1427,16 Anderson Road,Nouvel 18,2014,2820 sqft,4,4,"S$ 9,200,000 ","S$ 3,262.41 psf",Freehold,Condominium,1.310841,103.8283245
1428,Rosewood Drive,Parc Rosewood,2014,969 sqft,2,3,"S$ 888,000 ",S$ 916.41 psf,99-year Leasehold,Condominium,1.4296054694,103.7852792324
1429,344 Hougang Avenue 7,Riverfront Residences,99-year Leasehold,872 sqft,2,3,"S$ 1,170,000 ","S$ 1,341.74 psf",Condominium,New Project: 2024,1.369917,103.9000365
1430,16 Anderson Road,Nouvel 18,2014,6458 sqft,5,5,"S$ 32,000,000 ","S$ 4,955.09 psf",Freehold,Condominium,1.310841,103.8283245
1431,344 Hougang Avenue 7,Riverfront Residences,99-year Leasehold,1410 sqft,4,4,"S$ 1,750,000 ","S$ 1,241.13 psf",Condominium,New Project: 2024,1.369917,103.9000365
1432,"Sunrise Drive, Sunrise Place, Sunrise Close","⭐️ ⭐️ BEST DEAL SUNRISE PLACE TERRACE FOR A&A, RENOVATION OR BUILT TO YOUR IDEAL HOME",1997,"2000 sqft, 1716 sqft (land)",3,4,"S$ 2,400,000 ","S$ 1,398.60 psf",Freehold,Terraced House,,
1433,23 Marina Way,Marina One Residences,2017,1044 sqft,2,2,"S$ 2,480,000 ","S$ 2,375.48 psf",99-year Leasehold,Apartment,1.277226,103.8536955
1434,118 Tampines Street 11,Treasure at Tampines,99-year Leasehold,463 sqft,1,1,"S$ 677,000 ","S$ 1,462.20 psf",Condominium,New Project: 2023,1.3449149999999999,103.946733
1435,430B Fernvale Link,430B Fernvale Link,2013,721 sqft,2,2,"S$ 365,000 ",S$ 506.24 psf,99-year Leasehold,HDB Apartment,1.393785,103.878216
1436,118 Tampines Street 11,Treasure at Tampines,99-year Leasehold,581 sqft,2,2,"S$ 781,000 ","S$ 1,344.23 psf",Condominium,New Project: 2023,1.3449149999999999,103.946733
1437,118 Tampines Street 11,Treasure at Tampines,99-year Leasehold,1238 sqft,3,4,"S$ 1,509,000 ","S$ 1,218.90 psf",Condominium,New Project: 2023,1.3449149999999999,103.946733
1438,118 Tampines Street 11,Treasure at Tampines,99-year Leasehold,883 sqft,2,3,"S$ 1,110,000 ","S$ 1,257.08 psf",Condominium,New Project: 2023,1.3449149999999999,103.946733
1439,14 Amber Gardens,Amber Park,Freehold,463 sqft,1,1,"S$ 1,366,000 ","S$ 2,950.32 psf",Condominium,New Project: 2023,1.3002479999999998,103.8995415
1440,14 Amber Gardens,Amber Park,Freehold,678 sqft,2,2,"S$ 2,014,000 ","S$ 2,970.50 psf",Condominium,New Project: 2023,1.3002479999999998,103.8995415
1441,2 Rivervale Link,Park Green,2005,1194 sqft,2,3,"S$ 918,000 ",S$ 768.84 psf,99-year Leasehold,Condominium,1.380213,103.8998565
1442,31 Fernvale Road,High Park Residences,99-year Leasehold,667 sqft,2,2,"S$ 850,000 ","S$ 1,274.36 psf",Condominium,New Project: 2019,1.395549,103.875075
1443,344 Hougang Avenue 7,Riverfront Residences,99-year Leasehold,463 sqft,1,1,"S$ 564,000 ","S$ 1,218.14 psf",Condominium,New Project: 2024,1.369917,103.9000365
1444,129 Bukit Merah View,129 Bukit Merah View,1973,699 sqft,2,2,"S$ 339,000 ",S$ 484.98 psf,99-year Leasehold,HDB Apartment,1.28286,103.82203
1445,2 Walshe Road,Chelsea Gardens,2000,1959 sqft,5,4,"S$ 3,800,000 ","S$ 1,939.77 psf",Freehold,Condominium,1.312974,103.8273525
1446,7 Tong Watt Road,The Wharf Residence,2013,4133 sqft,4,4,"S$ 6,198,000 ","S$ 1,499.64 psf",999-year Leasehold,Condominium,1.293201,103.8402
1447,470 Pasir Ris Drive 6,470 Pasir Ris Drive 6,1989,1324 sqft,2,3,"S$ 530,000 ",S$ 400.30 psf,99-year Leasehold,HDB Apartment,1.3738139999999999,103.9575915
1448,327A Anchorvale Road,327A Anchorvale Road,2014,990 sqft,2,3,"S$ 490,000 ",S$ 494.95 psf,99-year Leasehold,HDB Apartment,1.395252,103.8886155
1449,Alexandra View,Artra,2020,786 sqft,2,2,"S$ 1,680,300 ","S$ 2,137.79 psf",99-year Leasehold,Condominium,1.290527695,103.8165717508
1450,274B Punggol Place,274B Punggol Place,2011,1011 sqft,2,3,"S$ 450,000 ",S$ 445.10 psf,99-year Leasehold,HDB Apartment,1.403118,103.9022865
1451,102 Gerald Drive,Seletar Springs Condo,2001,1324 sqft,2,2,"S$ 1,048,000 ",S$ 791.54 psf,99-year Leasehold,Condominium,1.388142,103.879161
1452,157A Rivervale Crescent,157A Rivervale Crescent,2001,1205 sqft,2,3,"S$ 460,000 ",S$ 381.74 psf,99-year Leasehold,HDB Apartment,1.3919300000000001,103.90694
1453,629 Jurong West Street 65,629 Jurong West Street 65,1999,1399 sqft,2,4,"S$ 550,000 ",S$ 393.14 psf,99-year Leasehold,HDB Apartment,1.342521,103.6996695
1454,30 Segar Road,Blossom Residences,2014,969 sqft,2,3,"S$ 868,000 ",S$ 895.77 psf,99-year Leasehold,Executive Condominium,1.389348,103.770297
1455,36 Lorong Mydin,Astoria Park,1995,926 sqft,2,2,"S$ 980,000 ","S$ 1,058.32 psf",99-year Leasehold,Condominium,1.31913,103.91174
1456,56 Punggol Walk,A Treasure Trove,2015,4877 sqft,5,7,"S$ 3,280,000 ",S$ 672.54 psf,99-year Leasehold,Condominium,1.405755,103.900284
1457,Clementi Crescent,37 Clementi Crescent,2002,"3831 sqft, 4778 sqft (land)",6,5,"S$ 7,000,000 ","S$ 1,465.05 psf",Freehold,Semi-Detached House,1.3228622544,103.7735375577
1458,271 Bishan Street 24,271 Bishan Street 24,1991,1119 sqft,2,3,"S$ 528,000 ",S$ 471.85 psf,99-year Leasehold,HDB Apartment,1.356615,103.8423195
1459,38 Martin Road,Martin No 38,2012,1130 sqft,2,2,"S$ 2,900,000 ","S$ 2,566.37 psf",Freehold,Apartment,1.29213,103.838067
1460,,Frankel avenue,2019,"7724 sqft, 4182 sqft (land)",5,5,"S$ 9,100,000 ","S$ 2,175.99 psf",Freehold,Detached House,,
1461,38 Ipoh Lane,38 I Suites,2014,463 sqft,1,1,"S$ 740,000 ","S$ 1,598.27 psf",Freehold,Condominium,1.311696,103.896306
