,Address,Building Name,Built On,Land Area,Number of Bathroom,Number of Bedroom,Price,Price per sqft,Tenure,Type,latitude,longitude
4013,35 Jalan Bahagia,35 Jalan Bahagia,1971,603 sqft,2,2,"S$ 225,000 ",S$ 373.13 psf,99-year Leasehold,HDB Apartment,,
4014,2 Woodleigh Lane,Park Colonial,99-year Leasehold,1184 sqft,3,4,"S$ 1,938,000 ","S$ 1,636.82 psf",Condominium,New Project: 2022,1.3377377736,103.8693875655
4015,11 Simei Street 4,Simei Green Condo,1999,1195 sqft,2,3,"S$ 1,100,000 ",S$ 920.50 psf,99-year Leasehold,Condominium,1.340766,103.957632
4016,981D Buangkok Crescent,981D Buangkok Crescent,2001,1184 sqft,2,3,"S$ 435,000 ",S$ 367.40 psf,99-year Leasehold,HDB Apartment,1.380465,103.8792285
4017,23 Mar Thoma Road,Riverbay,2014,646 sqft,2,2,"S$ 890,000 ","S$ 1,377.71 psf",999-year Leasehold,Condominium,1.328094,103.8627765
4018,28 Balmoral park,Pinetree Condo,1996,1381 sqft,4,3,"S$ 3,000,000 ","S$ 2,172.34 psf",Freehold,Condominium,1.315062,103.8292785
4019,10 Dover Rise,Heritage View,2000,1195 sqft,3,3,"S$ 1,480,000 ","S$ 1,238.49 psf",99-year Leasehold,Condominium,1.304415,103.7842785
4020,143 Rivervale Drive,143 Rivervale Drive,1998,1452 sqft,2,4,"S$ 630,000 ",S$ 433.88 psf,99-year Leasehold,HDB Apartment,1.3900679999999999,103.9057245
4021,Cactus Road,Modern Design Brand New Terrace,2019,"4500 sqft, 2918 sqft (land)",4,4,"S$ 3,380,000 ","S$ 1,158.33 psf",Freehold,Terraced House,1.3896818180000001,103.8515616584
4022,167 Petir Road,167 Petir Road,1997,1000 sqft,2,3,"S$ 520,000 ",S$ 520.00 psf,99-year Leasehold,HDB Apartment,1.377684,103.765104
4023,2 Bukit Batok Street 41,Le Quest,99-year Leasehold,936 sqft,2,3,"S$ 1,310,000 ","S$ 1,399.57 psf",Condominium,New Project: 2021,1.3612900000000001,103.7484
4024,94B Bedok North Avenue 4,94B Bedok North Avenue 4,1992,1539 sqft,2,3,"S$ 750,000 ",S$ 487.33 psf,99-year Leasehold,HDB Apartment,1.33668,103.9487
