,area,bathroom,bedroom,lat,long,school,mrt,age,type_condo,type_hdb,bathroom_area,bedroom_area,remaining_area,convenience,distance_from_central,price_sqft
4307,614,1,1,1.301562,103.847373,1,4,7,1,0,30.700000000000003,76.75,506.54999999999995,5,1.7558010858008333,1791.53
4308,1410,2,4,1.371996315,103.94480300000001,1,0,3,1,0,141.0,705.0,564.0,1,14.654435190748893,1120.57
4309,667,2,2,1.274643,103.8447405,1,1,5,1,0,66.7,166.75,433.54999999999995,2,3.551176892049558,2173.91
4310,710,2,2,1.433646297,103.84152929999999,6,0,3,1,0,71.0,177.5,461.5,6,14.377602366965682,1140.85
4311,560,2,1,1.343448,103.86885600000001,1,0,10,1,0,56.0,70.0,434.0,1,6.004909659148852,1285.71
4312,1432,3,3,1.364706,103.76559449999999,1,1,25,1,0,214.80000000000004,537.0,680.2,2,9.966412304114495,1152.23
4313,452,1,1,1.3617700000000001,103.88696,2,1,4,1,0,22.6,56.5,372.9,3,8.861532196137786,1615.04
4314,1076,3,3,1.40246,103.90686,9,0,6,1,0,161.40000000000003,403.5,511.0999999999999,9,13.724590987979829,899.63
4315,990,2,2,1.274616,103.8443175,1,1,6,1,0,99.0,247.5,643.5,2,3.5350636805021223,2222.22
4316,1141,3,3,1.3634594999999998,103.8949583,2,0,5,1,0,171.15000000000003,427.875,541.9749999999999,2,9.62668806286659,1078.0
4317,980,2,2,1.302003,103.7895975,1,1,11,1,0,98.0,245.0,637.0,2,4.699894484475969,1600.0
4318,1227,3,4,1.3809690000000001,103.90083299999999,5,0,6,1,0,184.05000000000004,613.5,429.45000000000005,5,11.467553522810126,1000.81
4319,872,2,2,1.385937,103.87020150000001,2,0,6,1,0,87.2,218.0,566.8,2,10.019288280491773,1261.47
4320,1270,2,2,1.279647,103.8549735,0,4,10,1,0,127.0,317.5,825.5,4,3.7292900132815903,2661.42
4321,506,1,1,1.427598,103.786038,4,0,6,1,0,25.3,63.25,417.45,4,14.585111983768602,1225.3
4322,1216,3,3,1.37497,103.97395,0,0,23,1,0,182.40000000000003,456.0,577.5999999999999,0,17.661465317617864,1036.18
4323,1248,3,3,1.32084,103.8998,2,1,4,1,0,187.20000000000002,468.0,592.8,3,7.795656400638609,1089.74
