Built,area,bathroom,bedroom,price_sqft,Type,latitude,longitude
2006,1270.0,3,3,1275.59,Condo,1.313109,103.85766
1993,1572.0,2,3,384.86,HDB,1.3784399999999999,103.9383135
2014,1109.0,3,3,991.88,Condo,1.3898700000000002,103.77027
2014,1066.0,2,2,2072.53,Condo,1.304406,103.8406005
2018,936.0,2,3,1514.96,Condo,1.346247,103.72596300000001
1984,1184.0,2,3,337.84,HDB,1.348632,103.940289
2001,1216.0,2,3,1100.33,Condo,1.344492,103.9642605
2009,720.0,2,2,511.11,HDB,1.383813,103.898808
2001,1184.0,2,3,717.91,HDB,1.281159,103.827267
2015,4198.0,5,4,3692.23,Condo,1.3061900522,103.8226900628
2002,1539.0,3,3,877.19,Condo,1.34253,103.955031
1984,904.0,2,3,575.22,HDB,1.3525200000000002,103.87035999999999
1994,1668.0,2,3,1726.62,Condo,1.294119,103.83750450000001
2015,990.0,2,3,543.43,HDB,1.407771,103.8995865
2015,549.0,1,2,1435.34,Condo,1.312002,103.8859515
1986,968.0,2,3,618.69,HDB,1.350072,103.85253900000001
2016,947.0,2,2,1161.56,Condo,1.378467,103.9025205
2016,700.0,2,2,1571.43,Condo,1.321821,103.864743
2012,840.0,2,2,1488.1,Condo,1.335915,103.8696885
1976,1323.0,2,3,702.95,HDB,1.309707,103.789098
1986,1324.0,2,3,655.59,HDB,1.348047,103.8507255
1986,1625.0,2,3,400.0,HDB,1.3791600000000002,103.76743950000001
2012,1108.0,2,3,1173.29,Condo,1.365849,103.884858
2014,1787.0,2,4,772.24,Condo,1.428687,103.7861505
1998,1335.0,2,4,539.33,HDB,1.277397,103.8204675
2016,980.0,2,3,1530.61,Condo,1.321821,103.864743
2002,1700.0,4,4,1029.41,Condo,1.34253,103.955031
2013,420.0,1,1,1426.19,Condo,1.328706,103.865094
2013,1899.0,3,3,1284.3,Condo,1.282203,103.8030255
1985,2069.0,3,5,425.33,HDB,1.4298030000000002,103.776561
2003,3703.0,5,5,2376.45,Condo,1.304406,103.82601600000001
2005,1227.0,3,3,863.9,Condo,1.349748,103.96165500000001
1973,710.0,1,3,422.54,HDB,1.325439,103.9262085
2004,2325.0,4,4,1462.37,Condo,1.323288,103.848795
2001,1206.0,2,3,373.13,HDB,1.388088,103.907889
1978,990.0,2,3,463.64,HDB,1.36752,103.85505
2019,463.0,1,1,1511.88,Condo,1.3719963153,103.9448030088
1971,893.0,2,3,524.08,HDB,1.318311,103.8629205
2015,990.0,2,3,533.33,HDB,1.408005,103.8990735
2017,1184.0,3,3,1309.12,Condo,1.3654620000000002,103.771773
2011,3089.0,5,4,5179.67,Condo,1.3004100694,103.83046008049999
1984,1119.0,2,3,339.59,HDB,1.3529600222,103.8837799745
1949,947.0,1,2,705.39,HDB,1.2843,103.830516
2016,1787.0,4,4,923.34,Condo,1.377522,103.96024200000001
2014,1001.0,2,2,469.53,HDB,1.4049,103.90272
2018,678.0,2,2,1297.94,Condo,1.374723,103.90373100000001
2016,603.0,1,1,3067.99,Condo,1.2972059999999999,103.838976
1986,689.0,2,2,478.96,HDB,1.364814,103.8657555
2012,1205.0,2,3,438.17,HDB,1.4049,103.90272
1996,1496.0,3,4,401.07,HDB,1.380141,103.7372175
2006,560.0,1,1,1160.71,Condo,1.31295,103.91128
1975,635.0,1,2,472.44,HDB,1.2828,103.81786
2012,1270.0,3,3,1141.73,Condo,1.341171,103.9562865
2006,1258.0,3,3,1112.88,Condo,1.313109,103.85766
2011,1217.0,2,3,1972.06,Condo,1.34041,103.77221
2010,893.0,2,2,1343.78,Condo,1.31283,103.92608
1984,3120.0,5,4,1599.36,Condo,1.316187,103.7763
2012,1517.0,3,4,1219.51,Condo,1.34261,103.92539000000001
2015,2962.0,4,4,1343.69,Condo,1.31059,103.9254
2017,926.0,2,3,1457.88,Condo,1.3798882624000002,103.89315524770001
2014,797.0,1,2,2007.53,Condo,1.301643,103.8484755
2013,990.0,2,3,454.55,HDB,1.393551,103.87448549999999
2017,549.0,1,1,1400.73,Condo,1.322775,103.9449285
1979,720.0,2,2,375.0,HDB,1.3050899999999999,103.7671965
2006,732.0,1,1,1999.0,Condo,1.291257,103.84069050000001
1980,721.0,2,2,485.44,HDB,1.317573,103.767975
2008,1679.0,3,4,1536.63,Condo,1.3008870000000001,103.8820905
2014,1280.0,3,3,1289.06,Condo,1.3856760000000001,103.8697515
2015,516.0,1,1,1083.12,Condo,1.356984,103.9644495
1984,1302.0,2,3,364.82,HDB,1.351791,103.95475649999999
2007,1033.0,2,2,1597.29,Condo,1.29176,103.82594
2014,1033.0,2,3,905.13,Condo,1.373436,103.9407795
1972,700.0,1,2,542.86,HDB,1.3344799999999999,103.85108000000001
2015,915.0,2,3,1049.18,Condo,1.375578,103.903317
2012,904.0,2,2,1305.31,Condo,1.34261,103.92539000000001
2014,1001.0,2,3,474.53,HDB,1.4049,103.90272
2013,1205.0,2,3,454.77,HDB,1.432485,103.844367
2006,1485.0,4,4,1131.31,Condo,1.313109,103.85766
1982,742.0,2,2,525.61,HDB,1.272483,103.824702
2011,1012.0,2,3,422.92,HDB,1.393398,103.8766455
2014,732.0,2,2,475.41,HDB,1.43621,103.83582
1994,1571.0,2,4,515.6,HDB,1.352916,103.938795
2001,1292.0,3,3,648.61,Condo,1.4459,103.80404
