area,bathroom,bedroom,Type,latitude,longitude,school,mrt,age_of_building,bathroom_area,bedroom_area,remaining_area,convenience,distance_from_central,price_sqft
991.0,2,3,HDB,1.448118,103.8019455,4.0,0.0,6,99.10000000000001,371.625,520.275,4.0,16.27906169400537,423.81
990.0,2,3,Condo,1.40246,103.90686,9.0,0.0,6,99.0,371.25,519.75,9.0,13.724590988717734,888.89
1712.0,3,3,Condo,1.335033,103.808358,1.0,0.0,40,256.8,642.0,813.2,1.0,4.310166972332558,1103.32
1798.0,3,3,Condo,1.29879,103.888575,0.0,0.0,9,269.70000000000005,674.25,854.05,0.0,6.34665792365268,1796.44
1292.0,2,3,HDB,1.3055219999999998,103.9130235,3.0,0.0,45,129.20000000000002,484.5,678.3,3.0,9.043017996411033,617.65
1507.0,4,3,Condo,1.31667,103.81667,0.0,0.0,12,301.40000000000003,565.125,640.4749999999999,0.0,2.1895372141851945,2886.53
1216.0,3,3,Condo,1.296234,103.872132,0.0,0.0,16,182.40000000000003,456.0,577.5999999999999,0.0,4.5717746432468855,1332.24
1291.0,2,3,HDB,1.277766,103.8217005,3.0,0.0,20,129.1,484.125,677.7750000000001,3.0,3.1093142710785933,542.22
1313.0,3,3,Condo,1.32847,103.8429,1.0,0.0,7,196.95000000000002,492.375,623.675,1.0,2.976161228041314,1713.63
1119.0,2,3,HDB,1.380519,103.887954,6.0,0.0,29,111.9,419.625,587.475,6.0,10.520735845769812,352.99
463.0,1,1,Condo,1.330137,103.908285,3.0,0.0,4,23.150000000000002,57.875,381.975,3.0,8.991511636485864,1835.85
1270.0,2,3,HDB,1.3681299999999998,103.7496,2.0,0.0,17,127.0,476.25,666.75,2.0,11.573584149440315,511.81
1130.0,3,3,Condo,1.289484,103.830084,3.0,1.0,27,169.50000000000003,423.75,536.75,4.0,1.615201881547237,1353.98
624.0,1,2,Condo,1.355175,103.8664485,4.0,1.0,5,31.200000000000003,156.0,436.79999999999995,5.0,6.849536984088828,1201.92
1141.0,3,3,Condo,1.339542,103.9510215,1.0,1.0,22,171.15000000000003,427.875,541.9749999999999,2.0,13.84018045579396,788.78
1066.0,2,2,Condo,1.279647,103.8549735,0.0,3.0,10,106.60000000000001,266.5,692.9,3.0,3.7292900135333293,2373.36
1873.0,3,3,Condo,1.368549,103.9701735,1.0,0.0,35,280.95000000000005,702.375,889.675,1.0,16.97541046716717,961.03
678.0,2,2,HDB,1.291131,103.826763,2.0,0.0,48,67.8,169.5,440.70000000000005,2.0,1.5277641767282526,530.97
1291.0,2,3,HDB,1.33448,103.85108,4.0,1.0,34,129.1,484.125,677.7750000000001,5.0,3.9972864467910596,548.41
947.0,2,3,HDB,1.315872,103.871295,0.0,1.0,46,94.7,355.125,497.17499999999995,1.0,4.589472836135492,475.18
1098.0,3,3,Condo,1.378854,103.9432815,2.0,0.0,4,164.70000000000002,411.75,521.55,2.0,14.916443338538297,1111.11
1679.0,3,4,HDB,1.350783,103.731534,1.0,0.0,37,251.85000000000005,839.5,587.6499999999999,1.0,12.297958566837256,336.51
2992.0,4,4,Condo,1.28626,103.84244,0.0,1.0,10,598.4,1496.0,897.5999999999999,1.0,2.291483214457418,1504.01
1184.0,2,3,HDB,1.40246,103.90686,9.0,0.0,17,118.4,444.0,621.5999999999999,9.0,13.724590988717734,380.07
861.0,1,1,Condo,1.274616,103.8443175,1.0,1.0,6,43.050000000000004,107.625,710.325,2.0,3.53506370124488,1997.68
1206.0,2,3,HDB,1.394577,103.8914235,5.0,0.0,6,120.60000000000001,452.25,633.1500000000001,5.0,12.016094276162288,518.24
990.0,2,3,Condo,1.40246,103.90686,9.0,0.0,6,99.0,371.25,519.75,9.0,13.724590988717734,935.35
1044.0,2,2,Condo,1.277226,103.8536955,0.0,2.0,3,104.4,261.0,678.6,2.0,3.834908443761396,2818.97
1302.0,2,3,HDB,1.357551,103.87314,2.0,0.0,36,130.20000000000002,488.25,683.55,2.0,7.500647876553939,513.06
463.0,1,1,Condo,1.307697712,103.7916296309,1.0,1.0,3,23.150000000000002,57.875,381.975,2.0,4.48734591063657,1879.05
1011.0,2,2,HDB,1.402857,103.900068,6.0,1.0,8,101.10000000000001,252.75,657.15,7.0,13.313995628266472,573.69
743.0,2,2,Condo,1.356327,103.966578,1.0,0.0,3,74.3,185.75,482.95000000000005,1.0,16.078932278206466,1022.88
947.0,2,2,Condo,1.328571,103.945689,3.0,1.0,11,94.7,236.75,615.55,4.0,12.964837892013382,1288.28
805.0,2,2,HDB,1.352214,103.9524525,6.0,0.0,38,80.5,201.25,523.25,6.0,14.449274327782271,419.88
624.0,1,2,Condo,1.30635,103.88428,1.0,1.0,7,31.200000000000003,156.0,436.79999999999995,2.0,5.848364544825674,1923.08
1528.0,3,3,Condo,1.322451,103.7947095,0.0,0.0,38,229.20000000000005,573.0,725.8,0.0,4.603139843178463,1472.51
1163.0,3,3,Condo,1.355769,103.964922,1.0,0.0,5,174.45000000000002,436.125,552.425,1.0,15.884784049449005,945.83
818.0,2,2,HDB,1.31238,103.7869695,1.0,0.0,45,81.80000000000001,204.5,531.7,1.0,5.072746790585815,464.55
1808.0,2,2,Condo,1.297206,103.838976,1.0,1.0,4,180.8,452.0,1175.2,2.0,1.0972146275841559,2967.37
1184.0,2,3,HDB,1.388682,103.8747015,2.0,0.0,17,118.4,444.0,621.5999999999999,2.0,10.512478181438635,403.72
1163.0,2,3,Condo,1.2684598543,103.8143725106,0.0,0.0,7,116.30000000000001,436.125,610.575,0.0,4.380626786384962,1762.68
1421.0,4,5,Condo,1.3910665803,103.89424520979999,8.0,1.0,4,284.2,888.125,248.67499999999995,9.0,11.875537214531708,1280.79
1238.0,2,3,HDB,1.394325,103.90347,8.0,0.0,22,123.80000000000001,464.25,649.95,8.0,12.783709450684631,353.8
